frame,keypoints,Timestamp,Annotation
0,"[[[689.4819946289062, 101.37661743164062], [697.668701171875, 90.96908569335938], [676.2058715820312, 91.4486083984375], [708.9157104492188, 101.27566528320312], [655.1594848632812, 102.43318176269531], [737.265625, 167.0545654296875], [631.8990478515625, 168.52777099609375], [777.5811767578125, 219.13832092285156], [568.341796875, 223.38909912109375], [788.0064697265625, 236.54827880859375], [572.2505493164062, 241.60565185546875], [725.85498046875, 325.3500671386719], [666.1516723632812, 326.9801025390625], [722.3309326171875, 448.08416748046875], [700.7742309570312, 449.3523254394531], [660.26025390625, 581.829833984375], [664.2007446289062, 584.6173706054688]]]",0.0,"Unusually high variation in EEG channel AF3, with values ranging from -81.72 to 133.57, indicating potential artifact or noise."
1,"[[[691.01318359375, 100.47262573242188], [699.2067260742188, 90.29692077636719], [677.6985473632812, 90.54624938964844], [710.3941040039062, 100.91607666015625], [656.3587646484375, 101.68524169921875], [738.1132202148438, 167.10939025878906], [633.4442138671875, 167.84375], [777.6856079101562, 218.76661682128906], [570.1991577148438, 222.01353454589844], [788.4517822265625, 236.38809204101562], [572.3864135742188, 241.3829345703125], [724.9412231445312, 326.8104553222656], [664.6602172851562, 327.5938720703125], [719.3543090820312, 450.796142578125], [690.8555297851562, 451.0438232421875], [657.9924926757812, 582.9899291992188], [649.1558227539062, 584.7027587890625]]]",0.0333333333333333,"Unusually high variation in EEG channel AF3, with values ranging from -81.72 to 133.57, indicating potential artifact or noise."
2,"[[[692.4898071289062, 99.71434020996094], [700.6597900390625, 89.5809326171875], [679.0120239257812, 89.8719482421875], [711.9207153320312, 100.09713745117188], [657.0531005859375, 101.05613708496094], [738.842041015625, 166.56027221679688], [634.5596923828125, 166.99899291992188], [778.3409423828125, 218.18508911132812], [572.50634765625, 220.40151977539062], [789.164794921875, 236.26992797851562], [573.326171875, 240.5284423828125], [725.2620239257812, 328.4083557128906], [663.0266723632812, 328.58001708984375], [720.4410400390625, 453.8145446777344], [677.2102661132812, 453.2637939453125], [666.3388671875, 579.4703369140625], [631.302978515625, 580.53125]]]",0.0666666666666666,
3,"[[[694.0444946289062, 99.16305541992188], [702.2737426757812, 88.75125122070312], [680.547607421875, 89.29336547851562], [713.9117431640625, 98.78878784179688], [658.5851440429688, 100.23239135742188], [740.7727661132812, 165.82101440429688], [635.869873046875, 165.57476806640625], [779.5575561523438, 218.63623046875], [573.7073974609375, 218.8552703857422], [789.7618408203125, 236.72494506835938], [573.8304443359375, 241.36419677734375], [725.75, 329.7523193359375], [661.2059326171875, 329.31805419921875], [723.080322265625, 457.3985900878906], [666.1837158203125, 456.16033935546875], [675.3659057617188, 579.532470703125], [616.8681030273438, 581.021240234375]]]",0.1,
4,"[[[694.91064453125, 98.3677978515625], [703.155029296875, 87.85214233398438], [681.1761474609375, 88.59104919433594], [715.2205810546875, 98.24081420898438], [659.644775390625, 100.30545043945312], [742.4364624023438, 166.31005859375], [638.4109497070312, 165.43289184570312], [780.2388916015625, 221.1328582763672], [575.8316040039062, 218.9940948486328], [789.0783081054688, 236.942138671875], [574.508056640625, 240.80648803710938], [726.1586303710938, 332.9888916015625], [660.8187255859375, 331.7781066894531], [723.3076171875, 461.5906982421875], [657.1702270507812, 459.3455810546875], [678.5651245117188, 582.0428466796875], [602.3697509765625, 583.6040649414062]]]",0.1333333333333333,
5,"[[[694.9453125, 96.97575378417969], [703.7081298828125, 86.78819274902344], [681.6620483398438, 87.1578369140625], [716.7778930664062, 97.92730712890625], [661.291015625, 99.3709716796875], [744.3646850585938, 166.4853973388672], [639.149169921875, 164.72145080566406], [779.9090576171875, 223.31802368164062], [576.3032836914062, 219.539794921875], [788.1642456054688, 238.19891357421875], [575.150634765625, 241.43194580078125], [726.2098388671875, 333.2738952636719], [659.1392211914062, 331.35101318359375], [721.8571166992188, 462.9934997558594], [648.2930297851562, 459.8137512207031], [681.6689453125, 583.4928588867188], [594.4718017578125, 584.00830078125]]]",0.1666666666666666,
6,"[[[695.755126953125, 96.16958618164062], [704.6624145507812, 86.21026611328125], [682.9579467773438, 86.18428039550781], [717.6249389648438, 97.56182861328125], [662.8174438476562, 98.08529663085938], [744.7030029296875, 165.64500427246094], [639.1819458007812, 163.4425506591797], [779.1055297851562, 222.28656005859375], [577.2161865234375, 218.7417755126953], [787.65283203125, 237.44122314453125], [575.1090698242188, 241.07769775390625], [725.4494018554688, 332.17083740234375], [657.5450439453125, 329.93621826171875], [720.6248779296875, 462.6664733886719], [642.855712890625, 459.21661376953125], [682.69189453125, 585.3597412109375], [590.0453491210938, 584.926025390625]]]",0.2,
7,"[[[697.00830078125, 95.32662963867188], [705.566650390625, 85.61643981933594], [684.3148803710938, 85.43756103515625], [717.573974609375, 97.22738647460938], [663.2321166992188, 97.47152709960938], [744.3269653320312, 165.13848876953125], [637.8683471679688, 163.07962036132812], [778.67724609375, 221.4813232421875], [576.6781616210938, 218.89129638671875], [787.0426025390625, 237.50750732421875], [574.9534301757812, 241.712646484375], [724.8110961914062, 331.86492919921875], [655.9329833984375, 329.680908203125], [719.0672607421875, 463.3798828125], [638.858154296875, 460.13018798828125], [682.8885498046875, 585.8781127929688], [587.3121948242188, 585.2210083007812]]]",0.2333333333333333,
8,"[[[697.6283569335938, 95.55499267578125], [706.171875, 85.78900146484375], [684.9412841796875, 85.55851745605469], [717.8878173828125, 97.3739013671875], [663.4005126953125, 97.46308898925781], [745.1908569335938, 165.78817749023438], [636.9879150390625, 163.0167236328125], [779.6728515625, 223.10105895996094], [576.440185546875, 218.96951293945312], [787.10107421875, 238.08999633789062], [574.9256591796875, 242.40689086914062], [725.2622680664062, 333.58148193359375], [655.06689453125, 330.97479248046875], [717.02490234375, 466.2311706542969], [634.6880493164062, 462.4339599609375], [682.4471435546875, 588.3117065429688], [585.6156005859375, 587.4893188476562]]]",0.2666666666666666,
9,"[[[697.8303833007812, 95.96994018554688], [706.29150390625, 86.17971801757812], [684.997314453125, 86.02862548828125], [717.856689453125, 97.82273864746094], [663.16259765625, 98.17001342773438], [745.2537231445312, 166.7474365234375], [636.3876953125, 163.3084259033203], [779.279541015625, 224.99676513671875], [575.8861083984375, 219.14700317382812], [787.0326538085938, 238.19125366210938], [574.5470581054688, 242.68280029296875], [724.4791870117188, 333.86090087890625], [653.7379150390625, 330.9551696777344], [715.6724853515625, 465.9583740234375], [631.576171875, 461.86077880859375], [682.8951416015625, 588.7887573242188], [583.97607421875, 588.6229858398438]]]",0.3,
